Station Name,Measurement Timestamp,Air Temperature
Oak Street Weather Station,01/02/2016 06:00:00 AM,-2.7
Foster Weather Station,01/02/2016 06:00:00 AM,-3.67
63rd Street Weather Station,01/02/2016 06:00:00 AM,-3.3
Foster Weather Station,01/02/2016 07:00:00 AM,-4.39
63rd Street Weather Station,01/02/2016 07:00:00 AM,-4.2
Oak Street Weather Station,01/02/2016 07:00:00 AM,-3.2
63rd Street Weather Station,01/02/2016 08:00:00 AM,-4.6
Oak Street Weather Station,01/02/2016 08:00:00 AM,-3.9
Foster Weather Station,01/02/2016 08:00:00 AM,-4.56
Oak Street Weather Station,01/02/2016 09:00:00 AM,-3.5
63rd Street Weather Station,01/02/2016 09:00:00 AM,-3.9
Foster Weather Station,01/02/2016 09:00:00 AM,-4.39
Foster Weather Station,01/02/2016 10:00:00 AM,-2.67
63rd Street Weather Station,01/02/2016 10:00:00 AM,-2.8
Oak Street Weather Station,01/02/2016 11:00:00 AM,-0.8
Foster Weather Station,01/02/2016 11:00:00 AM,-1.56
63rd Street Weather Station,01/02/2016 11:00:00 AM,-1.3
Foster Weather Station,01/02/2016 12:00:00 PM,-0.5
63rd Street Weather Station,01/02/2016 12:00:00 PM,-0.6
Oak Street Weather Station,01/02/2016 12:00:00 PM,-0.4
63rd Street Weather Station,01/02/2016 01:00:00 PM,0.3
Foster Weather Station,01/02/2016 01:00:00 PM,0.06
Foster Weather Station,01/02/2016 02:00:00 PM,1.0
Oak Street Weather Station,01/02/2016 02:00:00 PM,1.2
63rd Street Weather Station,01/02/2016 02:00:00 PM,0.8
Oak Street Weather Station,01/02/2016 03:00:00 PM,1.5
63rd Street Weather Station,01/02/2016 03:00:00 PM,1.2
Foster Weather Station,01/02/2016 03:00:00 PM,0.78
Oak Street Weather Station,01/02/2016 04:00:00 PM,1.5
Foster Weather Station,01/02/2016 04:00:00 PM,0.5
63rd Street Weather Station,01/02/2016 04:00:00 PM,1.2
Foster Weather Station,01/02/2016 05:00:00 PM,0.06
Oak Street Weather Station,01/02/2016 05:00:00 PM,1.2
63rd Street Weather Station,01/02/2016 05:00:00 PM,0.6
Oak Street Weather Station,01/02/2016 06:00:00 PM,1.1
63rd Street Weather Station,01/02/2016 06:00:00 PM,0.2
Foster Weather Station,01/02/2016 06:00:00 PM,0.06
63rd Street Weather Station,01/02/2016 07:00:00 PM,0.4
Foster Weather Station,01/02/2016 07:00:00 PM,0.06
63rd Street Weather Station,01/02/2016 08:00:00 PM,0.8
Foster Weather Station,01/02/2016 08:00:00 PM,-0.17
Foster Weather Station,01/02/2016 09:00:00 PM,-0.39
63rd Street Weather Station,01/02/2016 09:00:00 PM,0.6
Oak Street Weather Station,01/02/2016 10:00:00 PM,-0.1
63rd Street Weather Station,01/02/2016 10:00:00 PM,0.1
Foster Weather Station,01/02/2016 10:00:00 PM,-1.39
Foster Weather Station,01/02/2016 11:00:00 PM,-2.06
Oak Street Weather Station,01/02/2016 11:00:00 PM,-0.8
63rd Street Weather Station,01/02/2016 11:00:00 PM,-0.8
Foster Weather Station,01/03/2016 01:00:00 AM,-3.17
Oak Street Weather Station,01/03/2016 01:00:00 AM,-2.0
63rd Street Weather Station,01/03/2016 01:00:00 AM,-2.2
Oak Street Weather Station,01/03/2016 02:00:00 AM,-2.3
Foster Weather Station,01/03/2016 02:00:00 AM,-3.56
63rd Street Weather Station,01/03/2016 02:00:00 AM,-2.6
Oak Street Weather Station,01/03/2016 03:00:00 AM,-2.5
Foster Weather Station,01/03/2016 03:00:00 AM,-3.78
63rd Street Weather Station,01/03/2016 03:00:00 AM,-2.9
Oak Street Weather Station,01/03/2016 04:00:00 AM,-2.6
Foster Weather Station,01/03/2016 04:00:00 AM,-3.56
